"Well","Cy5IntDen","Cy5Median","Cy5XArea","AmpFluor","WTFluor","MUTFluor","ThermalCycler","Array","Master","RunDate","Resolution","Triton","Tween","RefMat","CellStain","FAMIntDen","FAMMedian","FAMXArea","Linked","CellCount","HEXIntDen","HEXMedian","HEXXArea"
384,7591,0,3.416,"FAM","HEX","Cy5","UW",3,"Unknown","2016_11_21",10,0.05,0,"MUT Plasmid","N/A",24255,0,3.52,0,"N/A",10326,0,3.52
385,248878,0,31.884,"FAM","HEX","Cy5","UW",3,"Unknown","2016_11_21",10,0.05,0,"MUT Plasmid","N/A",2156715,0,31.884,0,"N/A",350875,0,31.781
386,378969,304,60.973,"FAM","HEX","Cy5","UW",3,"Unknown","2016_11_21",10,0.05,0,"MUT Plasmid","N/A",4501662,886,61.18,0,"N/A",751065,508,61.077
387,394418,451,64.493,"FAM","HEX","Cy5","UW",3,"Unknown","2016_11_21",10,0.05,0,"MUT Plasmid","N/A",5158663,3850,64.907,0,"N/A",571642,414,64.907
388,301722,234,57.971,"FAM","HEX","Cy5","UW",3,"Unknown","2016_11_21",10,0.05,0,"MUT Plasmid","N/A",4653951,1909,59.627,0,"N/A",520641,377,59.627
389,371146,384,65.942,"FAM","HEX","Cy5","UW",3,"Unknown","2016_11_21",10,0.05,0,"MUT Plasmid","N/A",5320166,5038,66.149,0,"N/A",582431,471,66.149
390,368900,324,58.903,"FAM","HEX","Cy5","UW",3,"Unknown","2016_11_21",10,0.05,0,"MUT Plasmid","N/A",4824154,2726,59.524,0,"N/A",558118,338,59.317
391,409110,451,65.942,"FAM","HEX","Cy5","UW",3,"Unknown","2016_11_21",10,0.05,0,"MUT Plasmid","N/A",5432701,4866,66.356,0,"N/A",631775,574,66.356
392,402828,439,65.528,"FAM","HEX","Cy5","UW",3,"Unknown","2016_11_21",10,0.05,0,"MUT Plasmid","N/A",5187302,4796,65.528,0,"N/A",584865,482,65.321
393,382236,407,63.561,"FAM","HEX","Cy5","UW",3,"Unknown","2016_11_21",10,0.05,0,"MUT Plasmid","N/A",5272192,3891,64.182,0,"N/A",641433,472,64.182
394,399200,449,65.735,"FAM","HEX","Cy5","UW",3,"Unknown","2016_11_21",10,0.05,0,"MUT Plasmid","N/A",5460766,4653,65.839,0,"N/A",658119,548,65.839
395,387056,456,62.422,"FAM","HEX","Cy5","UW",3,"Unknown","2016_11_21",10,0.05,0,"MUT Plasmid","N/A",5099633,3505,63.043,0,"N/A",658678,603,63.043
396,437172,514,73.188,"FAM","HEX","Cy5","UW",3,"Unknown","2016_11_21",10,0.05,0,"MUT Plasmid","N/A",6216690,8096,73.81,0,"N/A",724376,917,73.706
397,410176,467,64.286,"FAM","HEX","Cy5","UW",3,"Unknown","2016_11_21",10,0.05,0,"MUT Plasmid","N/A",5142149,3928,64.286,0,"N/A",592641,373,63.561
398,359440,311,62.629,"FAM","HEX","Cy5","UW",3,"Unknown","2016_11_21",10,0.05,0,"MUT Plasmid","N/A",5112378,4044,63.354,0,"N/A",610290,320,63.354
399,354542,322,62.526,"FAM","HEX","Cy5","UW",3,"Unknown","2016_11_21",10,0.05,0,"MUT Plasmid","N/A",5021303,3013,63.458,0,"N/A",570955,293,63.458
400,305132,185,57.35,"FAM","HEX","Cy5","UW",3,"Unknown","2016_11_21",10,0.05,0,"MUT Plasmid","N/A",4614111,1711,58.489,0,"N/A",523036,250,58.489
401,407192,450,69.255,"FAM","HEX","Cy5","UW",3,"Unknown","2016_11_21",10,0.05,0,"MUT Plasmid","N/A",5789403,6420,70.083,0,"N/A",640334,766,70.083
402,304094,264,62.422,"FAM","HEX","Cy5","UW",3,"Unknown","2016_11_21",10,0.05,0,"MUT Plasmid","N/A",4851194,2775,63.665,0,"N/A",704901,455,63.458
403,366670,308,55.383,"FAM","HEX","Cy5","UW",3,"Unknown","2016_11_21",10,0.05,0,"MUT Plasmid","N/A",4468695,1427,56.211,0,"N/A",522243,205,56.211
404,404291,392,66.977,"FAM","HEX","Cy5","UW",3,"Unknown","2016_11_21",10,0.05,0,"MUT Plasmid","N/A",5414090,4715,67.184,0,"N/A",604953,550,67.184
405,336736,372,63.251,"FAM","HEX","Cy5","UW",3,"Unknown","2016_11_21",10,0.05,0,"MUT Plasmid","N/A",4844636,2328,63.561,0,"N/A",557771,459,63.354
406,453619,509,69.048,"FAM","HEX","Cy5","UW",3,"Unknown","2016_11_21",10,0.05,0,"MUT Plasmid","N/A",5789937,5685,70.083,0,"N/A",662076,700,69.669
407,378163,372,72.878,"FAM","HEX","Cy5","UW",3,"Unknown","2016_11_21",10,0.05,0,"MUT Plasmid","N/A",6147252,8405,73.395,0,"N/A",701352,973,72.878
408,393279,433,65.424,"FAM","HEX","Cy5","UW",3,"Unknown","2016_11_21",10,0.05,0,"MUT Plasmid","N/A",5490437,4590,66.149,0,"N/A",641607,753,66.149
409,342921,322,65.217,"FAM","HEX","Cy5","UW",3,"Unknown","2016_11_21",10,0.05,0,"MUT Plasmid","N/A",5321276,4017,65.839,0,"N/A",610429,572,65.735
410,346121,427,63.251,"FAM","HEX","Cy5","UW",3,"Unknown","2016_11_21",10,0.05,0,"MUT Plasmid","N/A",5093065,4658,64.389,0,"N/A",588898,566,64.389
411,316619,283,58.385,"FAM","HEX","Cy5","UW",3,"Unknown","2016_11_21",10,0.05,0,"MUT Plasmid","N/A",4733702,2296,58.903,0,"N/A",534208,229,58.696
